"id","code","key","value","description","sequence","attr_1_description","attr_1","attr_2_description","attr_2","attr_3_description","attr_3","attr_4_description","attr_4","attr_5_description","attr_5","remark","created_by","created_at","updated_by","updated_at","is_deleted"
268,"201","2","ECポイント","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
269,"201","3","b-crewsポイント","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
270,"201","4","b-crewポイント","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
271,"202","1","注文による獲得","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
272,"202","2","注文による利用","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
273,"202","3","仮付与","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
274,"202","4","注文キャンセルによる獲得取り消し","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
275,"202","5","注文キャンセルによる利用取り消し","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
276,"202","6","仮付与取り消し","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
277,"202","7","調整（加算）","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
278,"202","8","調整（減算）","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
279,"202","9","失効","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
280,"203","1","会員登録","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
281,"203","2","注文","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
282,"203","3","調整","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
283,"203","4","プレゼント","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
284,"203","5","プロモーション","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
285,"203","6","紹介","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
286,"204","1","無期限","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
287,"204","2","年（獲得日起算）","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
288,"204","3","日（獲得日起算）","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
289,"204","4","年（最終獲得日起算）","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
290,"204","5","日（最終獲得日起算）","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
291,"301","1","販売中","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
292,"301","2","準備中","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
293,"301","3","販売停止","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
294,"301","4","販売終了","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
295,"301","9","廃番","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
296,"302","1","受発注品","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
297,"302","2","在庫品","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
298,"302","3","販売計画品","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
299,"304","1","仕入先","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
300,"304","2","得意先","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
301,"304","3","返品先","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
302,"304","4","店舗","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
303,"401","1","男性","",2,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
304,"401","2","女性","",1,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
305,"401","3","その他","",3,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
306,"401","9","無回答","",4,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
307,"501","8","決済待ち","",,"","","","","","","","","アイコン表示時の枠のstyle","border: 1px solid blue;color:#2eb85c;","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
308,"501","9","保留","",,"","","","","","","","","アイコン表示時の枠のstyle","background-color:#9b115;color:white;","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
309,"501","10","受付","",,"","","","","","","","","アイコン表示時の枠のstyle","background-color: green;color:white;","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
310,"501","11","出荷依頼済","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
311,"501","20","出荷済み","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
312,"501","31","キャンセル","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
313,"501","32","返品","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
314,"502","1","決済完了","",,"","","","","","","","","アイコン表示時の枠のstyle","border: 1px solid red;color:#636f83;","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
315,"502","2","決済待ち","",,"","","","","","","","","アイコン表示時の枠のstyle","border: 1px solid blue;color:#636f83;","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
316,"502","3","決済手続中","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
317,"502","4","入金待ち","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
318,"502","5","決済失敗","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
319,"502","6","期限切れ","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
320,"502","7","無効","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
321,"503","11","銀行振込","",1,"決済代行会社識別子","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
322,"503","12","郵便振込","",2,"決済代行会社識別子","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
323,"503","13","代金引換","",3,"決済代行会社識別子","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
324,"503","14","クレジットカード","",4,"決済代行会社識別子","credit","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
325,"503","15","コンビニ","",5,"決済代行会社識別子","cvs","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
326,"503","16","Pay-easy（ペイジー）","",6,"決済代行会社識別子","payeasy","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
327,"503","17","d払い／ドコモ払い","",7,"決済代行会社識別子","docomo","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
328,"503","18","auかんたん決済","",8,"決済代行会社識別子","au","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
329,"503","19","ソフトバンクまとめて支払い","",9,"決済代行会社識別子","sb","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
330,"503","20","エポスかんたん決済","",10,"決済代行会社識別子","epospay","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
331,"503","21","多通貨クレジットカード決済（DCC）","",11,"決済代行会社識別子","dcc","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
332,"503","22","LINE Pay決済","",12,"決済代行会社識別子","linepay","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
333,"503","23","FamiPay決済","",13,"決済代行会社識別子","famipay","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
334,"503","24","メルペイ決済","",14,"決済代行会社識別子","merpay","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
335,"503","25","楽天ペイ","",15,"決済代行会社識別子","rakutenid","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
336,"503","26","楽天ペイV2","",16,"決済代行会社識別子","rakutenpayv2","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
337,"503","27","PayPay","",17,"決済代行会社識別子","paypay","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
338,"503","28","銀行振込（バーチャル口座）","",18,"決済代行会社識別子","virtualaccount","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
339,"504","99","指定無し","",1,"佐川急便配送時間帯コード","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
340,"504","08","午前中（8時～12時）","",2,"佐川急便配送時間帯コード","01","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
341,"504","12","12時～14時","",3,"佐川急便配送時間帯コード","12","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
342,"504","14","14時～16時","",4,"佐川急便配送時間帯コード","14","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
343,"504","16","16時～18時","",5,"佐川急便配送時間帯コード","16","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
344,"504","18","18時～20時","",6,"佐川急便配送時間帯コード","18","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
345,"504","19","19時～21時","",7,"佐川急便配送時間帯コード","19","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
346,"505","2","出荷待ち","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
347,"505","1","出荷済み","",,"","","","","","","","","","","",0,2021/08/27 14:03:52,0,2021/08/27 14:03:52,0
